"state","tno","order_id","update_time"
190,UUS65K7110245531740,388545720,1779218965
190,UUS65K0450122171039,388545719,1779218965
190,UUS65K7550373303212,388545718,1779218965
1870,CNGF001FL5764000021309399,386940193,1779193802
1870,UUS65J5650403528281,386939106,1779193802
1870,CNGF001FL9010000021327599,386926863,1779193802
199,UUS65J1770064938633,387348772,1779218965
199,UUS65J1770311529037,387247643,1779218965
199,UUS65H2760472006725,386701155,1779218965
1910,"20260518RTS000349",387727957,1779210948
1910,"20260518RTS000338",387724604,1779210948
1910,"20260518RTS000337",387723946,1779210948
4010,"420714479236290412726300051215",387761873,1779218949
4010,"420717019200190412726303459368",387617280,1779218949
4010,"420046059200190412726303459344",387617276,1779218949
195,MI185040516263969886,387493399,1779213318
195,MI075160516261995939,387493388,1779213318
195,MI095010515261114461,387493367,1779213318
255,UUS65J3910194627107,387767696,1779216362
255,UUS65J6610194595482,387762410,1779216362
255,UUS65J2470606946193,387722710,1779216362
218,UUS65J1190227339164,386754292,1779208941
218,MI177120512262149755,382989281,1779198502
218,UUS6531190672805504,375131625,1779151710
219,UUS64V2620761831559,371544197,1779212856
219,UUS65G1190778024807,386181286,1779212742
219,UUS65D1300711286449,383520202,1779212742
200,UUS65E1300450744342,384410906,1779218963
200,UUS65E7070396942360,384193880,1779218963
200,UUS65D5700751079362,383502375,1779218961
202,UUS65C1190747185736,383050871,1779218952
202,UUS65B8890755787483,382186602,1779218931
202,UUS65E4250447378846,384567324,1779218923
220,UUS6491260051440497,353413394,1779218517
220,UUS64H1750683142997,360631467,1779218285
220,UUS64F2370541346427,358877861,1779218195
231,UUS26A0740034346210,380164294,1779218921
231,UUS65E5590636958361,384045768,1779218842
231,UUS6571190256665053,378329997,1779218792
232,UUS65B9270855095334,382152320,1779218826
232,UUS65D5590614662409,383501581,1779218162
232,UUS6562230211449536,377803281,1779218098
203,UUS65J1190879142066,386978706,1779218965
203,UUS65G8580692820855,386166902,1779218965
203,UUS65G1190965924670,386122506,1779218965
216,UUS64J1890861979428,361667952,1778264813
216,UUS6372300245114965,324511496,1775163204
216,UUS63M2760370686271,337068627,1775163191
228,UUS64P1260210433791,366605815,1779218442
228,UUS6567400514587777,378145795,1779218378
228,UUS63J2760345287440,334528744,1779217395
204,SWX337080000068455713,387808346,1779216726
204,SWX904630000068454971,387808229,1779216726
204,SWX722550000068454712,387808175,1779216726
217,SWX881210000068101724,387242640,1779218909
217,SWX296520000068101723,387242623,1779218909
217,SWX457260000068101720,387242606,1779218909
206,UUS64E1260304913392,358370241,1778291644
206,UUS61F1260877635897,287763589,1769099414
206,UUS61F1780874045432,287404543,1769097779
207,UUS6551190039053063,376957680,1779218805
207,UUS6551190461170528,376873728,1779218805
207,UUS6551190657231229,376844008,1779218805
209,UUS4B80466592222421,59222242,1733191081
209,UUS4B80463592161750,59216175,1733191081
209,UUS4B80467592155439,59215543,1733191081
211,UUS6571780752247779,378558700,1779218949
211,UUS65F5590570402986,384967939,1779218941
211,UUS6595590701180792,380186364,1779218930
212,UUS64B5590266312270,355223330,1776483017
212,UUS6450450497906928,349790692,1776086701
212,UUS63W2790438982462,343898246,1775321889
213,UUS65C2760191406819,382864711,1779218883
213,UUS65D2760261712308,383640318,1779218792
213,UUS6572230835103587,378610211,1779218423
215,UUS65F2720317366030,385509963,1779213873
215,UUS65G1190840611538,386170332,1779211528
215,UUS65G3970622323075,386219334,1779211495
222,UUS64S2760841155185,368775775,1778768503
222,UUS63L6610355073619,335507361,1778091853
222,UUS6421260475981599,347598159,1776616046
229,UUS63D2790298514425,329851442,1773841130
229,"20260213308236244",308236245,1771343398
229,UUSC000016371403,291871555,1770081081
230,UUS5BQ1789422522698,242252269,1779218812
230,UUS6581780478974212,379956685,1779218791
230,UUS6545590833408122,375502158,1779218710
233,UUS65C1780987359989,382356730,1779218510
233,UUS6575590739547369,378641618,1779218504
233,UUS65D5590145552720,383682705,1779218478
234,UUS6511780796302302,373439218,1779157720
234,UUS6541780389915661,375715044,1779157719
234,UUS65C1780507703436,382248124,1779157122
235,UUS6515590020663197,373346171,1779218347
235,UUS6484220632133103,352554890,1779213232
235,UUS64T2480533798889,369667801,1779204587
